S.No,Station,Station Code,City,Division,Zone,no.
119,Nal Halt,NAL,Bikaner,Bikaner,Jaipur,50
120,Naloi Barwa,BVZ,Bhiwani,Bikaner,Jaipur,50
121,Nangal Degrota,NDRT,Mahendragarh,Bikaner,Jaipur,50
122,Nangal Mundi,NNU,Rewari,Bikaner,Jaipur,50
123,Nangal Pathani Halt,NLQ,Rewari,Bikaner,Jaipur,50
124,Nanwan,NWN,Mahendragarh,Bikaner,Jaipur,50
125,Naojan Ramanal,NJM,Bathinda,Bikaner,Jaipur,50
126,Napasar,NPS,Bikaner,Bikaner,Jaipur,50
127,Narwasi,NRWI,Churu,Bikaner,Jaipur,50
128,Nathwana,NTZ,Bikaner,Bikaner,Jaipur,50
129,Nawan,NAWN,Hanumangarh,Bikaner,Jaipur,50
130,Nohar,NHR,Hanumangarh,Bikaner,Jaipur,50
131,Nokhra,NKRA,Bikaner,Bikaner,Jaipur,50
132,Nosaria,NOA,Churu,Bikaner,Jaipur,50
133,Nyoli Kalan,NKN,Hissar,Bikaner,Jaipur,50
134,Paharsar,PRSR,Churu,Bikaner,Jaipur,50
135,Parsneu,PSV,Churu,Bikaner,Jaipur,50
136,Parvezpur,PVZ,Bhiwani,Bikaner,Jaipur,50
137,Pathrala,PTRL,Bathinda,Bikaner,Jaipur,50
138,Patuwas Mehrana,PUW,Jhajjar,Bikaner,Jaipur,50
139,Payli Halt,PYI,Churu,Bikaner,Jaipur,50
140,Pili Bangan,PGK,Hanumangarh,Bikaner,Jaipur,50
141,Prithwirajpur,PRUR,Sri Ganganagar,Bikaner,Jaipur,50
142,Raghunathgarh,RGNH,Sikar,Bikaner,Jaipur,50
143,Rai Singh Nagar,RSNR,Sri Ganganagar,Bikaner,Jaipur,50
144,Rajaldesar,RJR,Churu,Bikaner,Jaipur,50
145,Rajiyasar,RJS,Sri Ganganagar,Bikaner,Jaipur,50
146,Raman,RMN,Jalandhar,Bikaner,Jaipur,50
147,Rampura Beri,RMB,Churu,Bikaner,Jaipur,50
148,Ramsinghpur,RMSR,Sri Ganganagar,Bikaner,Jaipur,50
149,Rangmahal,RMH,Sri Ganganagar,Bikaner,Jaipur,50
150,Ratangarh Junction,RTGH,Churu,Bikaner,Jaipur,50
151,Ratangarh Kanakwal,RKK,Bathinda,Bikaner,Jaipur,50
152,Ratangarh West,RXW,Churu,Bikaner,Jaipur,50
153,Sadulpur Junction,SDLP,Churu,Bikaner,Jaipur,50
154,Sadulshahr,SDS,Sri Ganganagar,Bikaner,Jaipur,50
155,Sahuwala,SHWL,Sri Ganganagar,Bikaner,Jaipur,50
156,Salemgarhmasani,SJSM,Hanumangarh,Bikaner,Jaipur,50
157,Sangaria,SGRA,Hanumangarh,Bikaner,Jaipur,50
158,Sangat,SGF,Bathinda,Bikaner,Jaipur,50
159,Sardargarh,SRZ,Sri Ganganagar,Bikaner,Jaipur,50
160,Sardarshahr,SRDR,Churu,Bikaner,Jaipur,50
161,Sarupsar Junction,SRPR,Sri Ganganagar,Bikaner,Jaipur,50
162,Satnali,STNL,Mahendragarh,Bikaner,Jaipur,50
163,Satrod,STD,Hissar,Bikaner,Jaipur,50
164,Sherekan,SRKN,Hanumangarh,Bikaner,Jaipur,50
165,Shergarh,SGA,Bathinda,Bikaner,Jaipur,50
166,Shri Ganganagar,SGNR,Sri Ganganagar,Bikaner,Jaipur,50
167,Shri Karanpur,SRW,Sri Ganganagar,Bikaner,Jaipur,50
168,Shri Makri Nath Nagar,SMNN,Churu,Bikaner,Jaipur,50
169,Shri Vijainagar,SBNR,Sri Ganganagar,Bikaner,Jaipur,50
170,Sidmukh,SDMK,Churu,Bikaner,Jaipur,50
171,Sird,SIRD,Jodhpur,Bikaner,Jaipur,50
172,Sirsa,SSA,Sirsa,Bikaner,Jaipur,50
173,Sirsala,SRSL,Jhunjhunu,Bikaner,Jaipur,50
174,Sitalnagar,STNR,Bikaner,Bikaner,Jaipur,50
175,Siwani,SWNI,Bhiwani,Bikaner,Jaipur,50
176,Sohansra,SAWN,Bhiwani,Bikaner,Jaipur,50
177,Sri Dungargarh,SDGH,Churu,Bikaner,Jaipur,50
178,Sri Ramgarh Halt,SHRG,Hanumangarh,Bikaner,Jaipur,50
179,Suchan Kotli,SHN,Sirsa,Bikaner,Jaipur,50
180,Sudharana,SDRA,Mahendragarh,Bikaner,Jaipur,50
181,Sudsar,SDF,Bikaner,Bikaner,Jaipur,50
182,Sui,SUI,Bhiwani,Bikaner,Jaipur,50
183,Sukhchain,SCV,Sirsa,Bikaner,Jaipur,50
184,Suratgarh Junction,SOG,Sri Ganganagar,Bikaner,Jaipur,50
185,Suratpura Junction,SURP,Bikaner,Bikaner,Jaipur,50
186,Surera,SURR,Sikar,Bikaner,Jaipur,50
187,Tahsil Bhadra,TSD,Hanumangarh,Bikaner,Jaipur,50
188,Tibi,TIBI,Hanumangarh,Bikaner,Jaipur,50
189,Tulwara Jhil,TLI,Hanumangarh,Bikaner,Jaipur,50
190,Udasar,UDS,Churu,Bikaner,Jaipur,50
191,Zarpur Pali,ZP,Mahendragarh,Bikaner,Jaipur,50
192,Zorawar Pura Halt,ZPR,Sri Ganganagar,Bikaner,Jaipur,50
1,Ajit,AJIT,Barmer,Jodhpur,Jaipur,51
2,Alai,ALAI,Nagaur,Jodhpur,Jaipur,51
3,Ashapura Gomat,AQG,Jaisalmer,Jodhpur,Jaipur,51
4,Asranada,AAS,Jodhpur,Jodhpur,Jaipur,51
5,Badwasi,BWS,Jhunjhunu,Jodhpur,Jaipur,51
6,Bakra Road,BK,Jalore,Jodhpur,Jaipur,51
7,Balotra Jn,BLT,Barmer,Jodhpur,Jaipur,51
8,Balsamand,BLSD,Nagaur,Jodhpur,Jaipur,51
9,Balwara,BAWA,Jalore,Jodhpur,Jaipur,51
10,Bamsin,BMSN,Barmer,Jodhpur,Jaipur,51
11,Banar,BNO,Jodhpur,Jodhpur,Jaipur,51
12,Baniya Sanda Dhora,BSDA,Barmer,Jodhpur,Jaipur,51
13,Barmer,BME,Barmer,Jodhpur,Jaipur,51
14,Basni,BANE,Jodhpur,Jodhpur,Jaipur,51
15,Baytu,BUT,Barmer,Jodhpur,Jaipur,51
16,Besroli,BSRL,Nagaur,Jodhpur,Jaipur,51
17,Bhachhbar,BBC,Barmer,Jodhpur,Jaipur,51
18,Bhagat Ki Kothi,BGKT,Jodhpur,Jodhpur,Jaipur,51
19,Bhawi,BCW,Jodhpur,Jodhpur,Jaipur,51
20,Bheempura,BIPR,Jalore,Jodhpur,Jaipur,51
21,Bhikamkor,BKC,Jodhpur,Jodhpur,Jaipur,51
22,Bhimarlai,BMQ,Barmer,Jodhpur,Jaipur,51
23,Bidiyad,BIDD,Nagaur,Jodhpur,Jaipur,51
24,Bilara,BARA,Jodhpur,Jodhpur,Jaipur,51
25,Bishengarh,BISH,Jalore,Jodhpur,Jaipur,51
26,Bomadra,BOM,Pali,Jodhpur,Jaipur,51
27,Borawar,BOW,Jodhpur,Jodhpur,Jaipur,51
28,Chilo,CLO,Nagaur,Jodhpur,Jaipur,51
29,Choti Khatu,CTKT,Nagaur,Jodhpur,Jaipur,51
30,Degana Junction,DNA,Nagaur,Jodhpur,Jaipur,51
31,Deshnoke,DSO,Bikaner,Jodhpur,Jaipur,51
32,Deswal,DSL,Nagaur,Jodhpur,Jaipur,51
33,Dhanera,DQN,Banaskantha,Jodhpur,Jaipur,51
34,Didwana,DIA,Nagaur,Jodhpur,Jaipur,51
35,Dudia,DUK,Jodhpur,Jodhpur,Jaipur,51
36,Dugdol,DGQ,Banaskantha,Jodhpur,Jaipur,51
37,Dundara,DOR,Jodhpur,Jodhpur,Jaipur,51
38,Gachhipura,GCH,Nagaur,Jodhpur,Jaipur,51
39,Gadra Road,GDD,Jhalawar,Jodhpur,Jaipur,51
40,Gagariya,GGY,Barmer,Jodhpur,Jaipur,51
41,Gole,GOLE,Barmer,Jodhpur,Jaipur,51
42,Gotan,GOTN,Nagaur,Jodhpur,Jaipur,51
43,Govindi Marwar,GVMR,Nagaur,Jodhpur,Jaipur,51
44,Gudha,GA,Jaipur,Jodhpur,Jaipur,51
45,Hanwant,HWT,Jodhpur,Jodhpur,Jaipur,51
46,Jagnath Road Halt,JNX,Jalore,Jodhpur,Jaipur,51
47,Jaisalmer,JSM,Jaisalmer,Jodhpur,Jaipur,51
48,Jaisinder,JSD,Barmer,Jodhpur,Jaipur,51
49,Jajiwal,JWL,Jodhpur,Jodhpur,Jaipur,51
50,Jalor,JOR,Jalore,Jodhpur,Jaipur,51
51,Jalsu,JAC,Nagaur,Jodhpur,Jaipur,51
52,Jalsu Nanak,JACN,Nagaur,Jodhpur,Jaipur,51
53,Janiyana,JNE,Barmer,Jodhpur,Jaipur,51
54,Jari,JARI,Banaskantha,Jodhpur,Jaipur,51
55,Jasai,JSA,Barmer,Jodhpur,Jaipur,51
56,Jaswantgarh,JSH,Churu,Jodhpur,Jaipur,51
57,Jenal,JNZ,Banaskantha,Jodhpur,Jaipur,51
58,Jetha Chandan,JCH,Jaisalmer,Jodhpur,Jaipur,51
59,Jodhpur Cantt.,JUCT,Jodhpur,Jodhpur,Jaipur,51
60,Jodhpur Junction,JU,Jodhpur,Jodhpur,Jaipur,51
61,Jogi Magra,JOM,Nagaur,Jodhpur,Jaipur,51
62,Kairla,KAI,Pali,Jodhpur,Jaipur,51
63,Kavas,KVA,Barmer,Jodhpur,Jaipur,51
64,Khajwana,KJW,Nagaur,Jodhpur,Jaipur,51
65,Kharia Khangarh,KXG,Jodhpur,Jodhpur,Jaipur,51
66,Khatu,KHTU,Nagaur,Jodhpur,Jaipur,51
67,Khed Temple Halt,KHTX,Barmer,Jodhpur,Jaipur,51
68,Kheduli,KQW,Nagaur,Jodhpur,Jaipur,51
69,Kheri Salwa,KSW,Jodhpur,Jodhpur,Jaipur,51
70,Khunkhuna,KKNA,Nagaur,Jodhpur,Jaipur,51
71,Kiroda,KRC,Nagaur,Jodhpur,Jaipur,51
72,Kuchaman City,KMNC,Nagaur,Jodhpur,Jaipur,51
73,Ladnun,LAU,Nagaur,Jodhpur,Jaipur,51
74,Ledarmer,LDM,Jalore,Jodhpur,Jaipur,51
75,Loha,LOHA,Churu,Jodhpur,Jaipur,51
76,Luni Junction,LUNI,Jodhpur,Jodhpur,Jaipur,51
77,Mahamandir,MMC,Jodhpur,Jodhpur,Jaipur,51
78,Makrana Junction,MKN,Nagaur,Jodhpur,Jaipur,51
79,Malwara,MBW,Pali,Jodhpur,Jaipur,51
80,Mandor,MDB,Jodhpur,Jodhpur,Jaipur,51
81,Marwar Bagra,MBGA,Jalore,Jodhpur,Jaipur,51
82,Marwar Balia,MBSK,Pali,Jodhpur,Jaipur,51
83,Marwar Bhinmal,MBNL,Pali,Jodhpur,Jaipur,51
84,Marwar Birthi,MBT,Pali,Jodhpur,Jaipur,51
85,Marwar Chapri,MCPE,Nagaur,Jodhpur,Jaipur,51
86,Marwar Khara,MKHR,Jodhpur,Jodhpur,Jaipur,51
87,Marwar Kori,KOF,Jalore,Jodhpur,Jaipur,51
88,Marwar Lohwat,MWT,Jodhpur,Jodhpur,Jaipur,51
89,Marwar Mathanya,MMY,Jodhpur,Jodhpur,Jaipur,51
90,Marwar Mundwa,MDW,Nagaur,Jodhpur,Jaipur,51
91,Marwar Ratanpur,MSQ,Jalore,Jodhpur,Jaipur,51
92,Merta City,MEC,Nagaur,Jodhpur,Jaipur,51
93,Merta Road Junction,MTD,Jodhpur,Jodhpur,Jaipur,51
94,Miyona ka Bara,MNKB,Barmer,Jodhpur,Jaipur,51
95,Modran,MON,Jalore,Jodhpur,Jaipur,51
96,Mokalsar,MKSR,Barmer,Jodhpur,Jaipur,51
97,Munabao,MBF,Barmer,Jodhpur,Jaipur,51
98,Nagaur,NGO,Nagaur,Jodhpur,Jaipur,51
99,Nawa City,NAC,Nagaur,Jodhpur,Jaipur,51
100,Naya Kharadia,NYK,Nagaur,Jodhpur,Jaipur,51
101,Nokha,NOK,Bikaner,Jodhpur,Jaipur,51
102,Odhaniya Chacha,OCH,Jaisalmer,Jodhpur,Jaipur,51
103,Osiyan,OSN,Jodhpur,Jodhpur,Jaipur,51
104,Palana,PAE,Bikaner,Jodhpur,Jaipur,51
105,Pali Marwar,PMY,Pali,Jodhpur,Jaipur,51
106,Parbatsar City,PBC,Nagaur,Jodhpur,Jaipur,51
107,Parhihara,PIH,Churu,Jodhpur,Jaipur,51
108,Parlu,PRU,Barmer,Jodhpur,Jaipur,51
109,Phalodi Junction,PLC,Jodhpur,Jodhpur,Jaipur,51
110,Phalodi Junction,PLCJ,Jodhpur,Jodhpur,Jaipur,51
111,Pipar City,PCY,Jodhpur,Jodhpur,Jaipur,51
112,Pipar Road Junction,PPR,Jodhpur,Jodhpur,Jaipur,51
113,Pirwa,PW,Nagaur,Jodhpur,Jaipur,51
114,Pokaran,POK,Jaisalmer,Jodhpur,Jaipur,51
115,Raikabag Palace Junction,RKB,Jodhpur,Jodhpur,Jaipur,51
116,Rajkiawas,RKZ,Pali,Jodhpur,Jaipur,51
117,Rakhi,RHI,Barmer,Jodhpur,Jaipur,51
118,Ramdevra,RDRA,Jaisalmer,Jodhpur,Jaipur,51
119,Ramsan,RXN,Banaskantha,Jodhpur,Jaipur,51
120,Ramsar,RMX,Barmer,Jodhpur,Jaipur,51
121,Raniwara,RNV,Jalore,Jodhpur,Jaipur,51
122,Ren,REN,Nagaur,Jodhpur,Jaipur,51
123,Rohat,RT,Pali,Jodhpur,Jaipur,51
124,Salawas,SZ,Jodhpur,Jodhpur,Jaipur,51
125,Sambhar Lake,SBR,Jaipur,Jodhpur,Jaipur,51
126,Samdhari Junction,SMR,Barmer,Jodhpur,Jaipur,51
127,Samrau,SRK,Jodhpur,Jodhpur,Jaipur,51
128,Sanvrad,SVO,Nagaur,Jodhpur,Jaipur,51
129,Sathin Road,SWF,Jodhpur,Jodhpur,Jaipur,51
130,Shaitan Singh Nagar,STSN,Jodhpur,Jodhpur,Jaipur,51
131,Shri Balaji,SBLJ,Nagaur,Jodhpur,Jaipur,51
132,Shri Bhadriya Lathi,SBLT,Jaisalmer,Jodhpur,Jaipur,51
133,Silari,SILR,Jodhpur,Jodhpur,Jaipur,51
134,Sujangarh,SUJH,Churu,Jodhpur,Jaipur,51
135,Surpura,SPO,Bikaner,Jodhpur,Jaipur,51
136,Sutlana,SUT,Jodhpur,Jodhpur,Jaipur,51
137,Talchhapar,TLC,Churu,Jodhpur,Jaipur,51
138,Thalyat Hamira,THM,Jaisalmer,Jodhpur,Jaipur,51
139,Thathana Mithri,THMR,Nagaur,Jodhpur,Jaipur,51
140,Tilwara,TWL,Barmer,Jodhpur,Jaipur,51
141,Tivari,TIW,Jodhpur,Jodhpur,Jaipur,51
142,Udramsar,UMS,Bikaner,Jodhpur,Jaipur,51
143,Umed,UMED,Jodhpur,Jodhpur,Jaipur,51
144,Utarlai,UTL,Barmer,Jodhpur,Jaipur,51
1,Aherwadi,AHD,Solapur,Hubli,Hubli,52
2,Almatti,LMT,Bijapur,Hubli,Hubli,52
3,Alnavar Junction,LWR,Alnavar,Hubli,Hubli,52
4,Amargol,AGL,Hubli,Hubli,Hubli,52
5,Angadgeri Halt,ANGR,Bijapur,Hubli,Hubli,52
6,Annigeri,NGR,Dharwad,Hubli,Hubli,52
7,Badami,BDM,Bagalkot,Hubli,Hubli,52
8,Bagalkot,BGK,Bagalkot,Hubli,Hubli,52
9,Bagewadi,BGWD,Bijapur,Hubli,Hubli,52
10,Balganur,BLR,Gadag,Hubli,Hubli,52
11,Ballari Cantt.,BYC,Ballari,Hubli,Hubli,52
12,Ballari Junction,BAY,Ballari,Hubli,Hubli,52
13,Banni Koppa,BNA,Koppal,Hubli,Hubli,52
14,Basavan Bagewadi Road,BSRX,Bijapur,Hubli,Hubli,52
15,Belagavi,BGM,Belgaum,Hubli,Hubli,52
16,Benl,BENL,Bijapur,Hubli,Hubli,52
17,Bennehalli,BEHI,Davanagere,Hubli,Hubli,52
18,Bettadnagenhali,BTGH,Chikkamagaluru,Hubli,Hubli,52
19,Bhanapur,BNP,Belgaum,Hubli,Hubli,52
20,Binkadakatti,BKIT,Gadag,Hubli,Hubli,52
21,Budhagumpa,BDGU,Koppal,Hubli,Hubli,52
22,Cansaulim,CSM,Goa,Hubli,Hubli,52
23,Castle Rock,CLR,Uttara Kannada,Hubli,Hubli,52
24,Chandar,CNR,Goa,Hubli,Hubli,52
25,Chikkabenakal,CKBK,Koppal,Hubli,Hubli,52
26,Chikodi Road,CKR,Belgaum,Hubli,Hubli,52
27,Chinchli,CNC,Belgaum,Hubli,Hubli,52
28,Chorgi,CHRG,Bijapur,Hubli,Hubli,52
29,Dabolim,DBM,Goa,Hubli,Hubli,52
30,Desur,DUR,Belgaum,Hubli,Hubli,52
31,Devarayi,DEV,Belgaum,Hubli,Hubli,52
32,Dharwad,DWR,Dharwad,Hubli,Hubli,52
33,Dudh Sagar,DDS,Goa,Hubli,Hubli,52
34,Duroji,DAJ,Bellary,Hubli,Hubli,52
35,Gadag Junction,GDG,Gadag,Hubli,Hubli,52
36,Gadiganuru,GNR,Bellary,Hubli,Hubli,52
37,Ghatprabha,GPB,Belgaum,Hubli,Hubli,52
38,Ginigera,GIN,Koppal,Hubli,Hubli,52
39,Gokak Road,GKK,Belgaum,Hubli,Hubli,52
40,Guledagudda Road,GED,Bagalkot,Hubli,Hubli,52
41,Gunji,GNJ,Belgaum,Hubli,Hubli,52
42,Harapanahalli,HPHI,Davanagere,Hubli,Hubli,52
43,Harlapur,RLP,Gadag,Hubli,Hubli,52
44,Hebsur,HBS,Hubli,Hubli,Hubli,52
45,Hitnal,HTNL,Koppal,Hubli,Hubli,52
46,Hole Alur,HLAR,Gadag,Hubli,Hubli,52
47,Hombal,HBL,Dharwad,Hubli,Hubli,52
48,Honaganahalli,HOH,Mandya,Hubli,Hubli,52
49,Hosapete Junction,HPT,Ballari,Hubli,Hubli,52
50,Hubballi Junction,UBL,Hubli,Hubli,Hubli,52
51,Hulkoti,LKT,Gadag,Hubli,Hubli,52
52,Ibrahimpur,IMR,Bijapur,Hubli,Hubli,52
53,Idalhond,IDJ,Belgaum,Hubli,Hubli,52
54,Indi Road,IDR,Bijapur,Hubli,Hubli,52
55,Jabbalgudda,JBGD,Koppal,Hubli,Hubli,52
56,Jadrama Kunti,JRKT,Bagalkot,Hubli,Hubli,52
57,Jakanur,JAK,Bagalkot,Hubli,Hubli,52
58,Kadlimatti,KLM,Bagalkot,Hubli,Hubli,52
59,Kalem,KM,Goa,Hubli,Hubli,52
60,Kalgurki Halt,KGIH,Bijapur,Hubli,Hubli,52
61,Kambarganvi,KBI,Dharwad,Hubli,Hubli,52
62,Kanginhal,KGX,Gadag,Hubli,Hubli,52
63,Kankanadi,KNKD,Mangalore,Hubli,Hubli,52
64,Kariganuru,KGW,Bellary,Hubli,Hubli,52
65,Khanapur,KNP,Belgaum,Hubli,Hubli,52
66,Koppal,KBL,Koppal,Hubli,Hubli,52
67,Kotturu,KTY,Bellary,Hubli,Hubli,52
68,Kudachi,KUD,Belgaum,Hubli,Hubli,52
69,Kudala Sangam Road,KSAR,Bagalkot,Hubli,Hubli,52
70,Kudatini,KDN,Bellary,Hubli,Hubli,52
71,Kudchade,SVM,Goa,Hubli,Hubli,52
72,Kudgi,KDGI,Bijapur,Hubli,Hubli,52
73,Kulem,QLM,Goa,Hubli,Hubli,52
74,Kusugal,KUG,Hubli,Hubli,Hubli,52
75,Kyarkop,KRKP,Dharwad,Hubli,Hubli,52
76,Kyatanakeri Road,KTK,Bijapur,Hubli,Hubli,52
77,Lachyan,LHN,Bijapur,Hubli,Hubli,52
78,Lakhmapur,LKY,Bagalkot,Hubli,Hubli,52
79,Londa Junction,LD,Belgaum,Hubli,Hubli,52
80,Mallapur,MLP,Uttara Kannada,Hubli,Hubli,52
81,Marmagao,MRH,Goa,Hubli,Hubli,52
82,Minchnal,MNL,Bijapur,Hubli,Hubli,52
83,Mugad,MGD,Dharwad,Hubli,Hubli,52
84,Mugalolli Halt,MGL,Bagalkot,Hubli,Hubli,52
85,Mulvad,MVD,Bijapur,Hubli,Hubli,52
86,Munirabad,MRB,Koppal,Hubli,Hubli,52
87,Nagargali,NAG,Belgaum,Hubli,Hubli,52
88,Navalur,NVU,Hubli,Hubli,Hubli,52
89,Nimbal,NBL,Bijapur,Hubli,Hubli,52
90,Obalapuram,OBM,Anantapur,Hubli,Hubli,52
91,Pachhapur,PCH,Belgaum,Hubli,Hubli,52
92,Padnur,PDNR,Bijapur,Hubli,Hubli,52
93,Papinayaknahali,PKL,Bellary,Hubli,Hubli,52
94,Parkanhatti,PRKH,Belgaum,Hubli,Hubli,52
95,Rayadurg,RDG,Anantapur,Hubli,Hubli,52
96,Raybag,RBG,Belgaum,Hubli,Hubli,52
97,Sambre,SXB,Belgaum,Hubli,Hubli,52
98,Sanjuje Da Arey,SJDA,Goa,Hubli,Hubli,52
99,Sankval,SKVL,Goa,Hubli,Hubli,52
100,Shedbal,SED,Belgaum,Hubli,Hubli,52
101,Shimoga,SME,Shimoga,Hubli,Hubli,52
102,Shivamogga Town,SMET,Shimoga,Hubli,Hubli,52
103,Sisvinhalli,SVHE,Belgaum,Hubli,Hubli,52
104,Sitimani,SII,Bagalkot,Hubli,Hubli,52
105,Somalapuram,SLM,Anantapur,Hubli,Hubli,52
106,Somankatti,SMKT,Gadag,Hubli,Hubli,52
107,Sompur Road,SOQ,Koppal,Hubli,Hubli,52
108,Suladhal,SUL,Belgaum,Hubli,Hubli,52
109,Sulebhavi,SBH,Belgaum,Hubli,Hubli,52
110,Sulerjavalge,SLGE,Solapur,Hubli,Hubli,52
111,Tadwal,TVL,Solapur,Hubli,Hubli,52
112,Tavargatti,TVG,Belgaum,Hubli,Hubli,52
113,Teligi,TLGI,Davanagere,Hubli,Hubli,52
114,Tinai Ghat,TGT,Uttara Kannada,Hubli,Hubli,52
115,Toranagallu Junction,TNGL,Ballari,Hubli,Hubli,52
116,Ugar Khurd,UGR,Belgaum,Hubli,Hubli,52
117,Unkal,UNK,Hubli,Hubli,Hubli,52
118,Vasco da Gama,VSG,Goa,Hubli,Hubli,52
119,Vijayapura,BJP,Vijayapura,Hubli,Hubli,52
120,Vijaynagar,VJR,Sangli,Hubli,Hubli,52
121,Wandal,WDL,Bijapur,Hubli,Hubli,52
122,Yerra Goppa Halt,YGA,Bagalkot,Hubli,Hubli,52
1,Adichunchanagiri Halt,ACCI,Hassan,Bangalore,Hubli,53
2,Anekal Road,AEK,Bengaluru,Bangalore,Hubli,53
3,Avatihalli,AVT,Bengaluru,Bangalore,Hubli,53
4,Avuladatla,ALAT,Anantapur,Bangalore,Hubli,53
5,B.G. Nagar,BGNR,Mandya,Bangalore,Hubli,53
6,Baiyyappanahalli,BYPL,Bengaluru,Bangalore,Hubli,53
7,Baiyyappanahalli Cabin,BPHI,Bengaluru,Bangalore,Hubli,53
8,Banaswadi,BAND,Bengaluru,Bangalore,Hubli,53
9,Bangalore East,BNCE,Bengaluru,Bangalore,Hubli,53
10,Bangarapet Terminal,BWT,Kolar,Bangalore,Hubli,53
11,Basampalle,BSPL,Vizianagaram,Bangalore,Hubli,53
12,Belandur Road,BLRR,Bengaluru,Bangalore,Hubli,53
13,BEML Nagar,BEML,Kolar,Bangalore,Hubli,53
14,Bengaluru Cantt.,BNC,Bengaluru,Bangalore,Hubli,53
15,Bettahalsoor,TLS,Bengaluru,Bangalore,Hubli,53
16,Bhairanayakanahalli,BNKH,Bengaluru,Bangalore,Hubli,53
17,Bidadi,BID,Ramanagara,Bangalore,Hubli,53
18,Bisanattam,BSM,Chittoor,Bangalore,Hubli,53
19,Byadarahalli,BDRL,Hassan,Bangalore,Hubli,53
20,Byatrayanhalli,BFW,Kolar,Bangalore,Hubli,53
21,Chakarlapalli,CPL,Anantapur,Bangalore,Hubli,53
22,Champion,CHU,Kolar,Bangalore,Hubli,53
23,Chandagirikopal,CGKR,Mandya,Bangalore,Hubli,53
24,Channapatna,CPT,Ramanagara,Bangalore,Hubli,53
25,Channasandra,CSDR,Bengaluru,Bangalore,Hubli,53
26,Chik Ballapur,CBP,Chikkaballapur,Bangalore,Hubli,53
27,Chikbanavar Junction,BAW,Bengaluru,Bangalore,Hubli,53
28,Chinnakote Halt,CNKH,Kolar,Bangalore,Hubli,53
29,Chintamani,CMY,Chikkaballapur,Bangalore,Hubli,53
30,Coromandel,COL,Belgaum,Bangalore,Hubli,53
31,Dalasanur Halt,DNU,Kolar,Bangalore,Hubli,53
32,Devanahalli,DHL,Bengaluru,Bangalore,Hubli,53
33,Devangonthi,DKN,Bengaluru,Bangalore,Hubli,53
34,Devarapalle,DPE,West Godavari,Bangalore,Hubli,53
35,Dharmapuri,DPJ,Dharmapuri,Bangalore,Hubli,53
36,Dobbspet,DBS,Tumkur,Bangalore,Hubli,53
37,Dodaanatta Halt,DTT,Kolar,Bangalore,Hubli,53
38,Dodballapur,DBU,Bengaluru,Bangalore,Hubli,53
39,Dodbele,DBL,Bengaluru,Bangalore,Hubli,53
40,Dodjala,DJL,Bengaluru,Bangalore,Hubli,53
41,Gauribidanur,GBD,Chikkaballapur,Bangalore,Hubli,53
42,Gidanahalli Halt,GDH,Chikkaballapur,Bangalore,Hubli,53
43,Golhalli,GHL,Bengaluru,Bangalore,Hubli,53
44,Gudupalli,GDP,Chittoor,Bangalore,Hubli,53
45,Hanakere,HNK,Mandya,Bangalore,Hubli,53
46,Hebbal,HEB,Bengaluru,Bangalore,Hubli,53
47,Heelalige,HLE,Bengaluru,Bangalore,Hubli,53
48,Hejjala,HJL,Bengaluru,Bangalore,Hubli,53
49,Hindupur,HUP,Anantapur,Bangalore,Hubli,53
50,Hirehali,HHL,Tumkur,Bangalore,Hubli,53
51,Hirisave,HISE,Hassan,Bangalore,Hubli,53
52,Hoodi Halt,HDIH,Bengaluru,Bangalore,Hubli,53
53,Hosur,HSRA,Hosur,Bangalore,Hubli,53
54,Hunsenahalli Halt,HUN,Chikkaballapur,Bangalore,Hubli,53
55,Jannagatta Halt,GJT,Bengaluru,Bangalore,Hubli,53
56,Jnana Bharati Halt,GNB,Bengaluru,Bangalore,Hubli,53
57,Kadiridevarapalli,KRYP,Anantapur,Bangalore,Hubli,53
58,Kalyandurga,KYND,Anantapur,Bangalore,Hubli,53
59,Kamasamudram,KSM,Kolar,Bangalore,Hubli,53
60,Karmelaram,CRLM,Bengaluru,Bangalore,Hubli,53
61,Karuvalli,KVLR,Salem,Bangalore,Hubli,53
62,Kelamangalam,KMLM,Krishnagiri,Bangalore,Hubli,53
63,Kengeri,KGI,Bengaluru,Bangalore,Hubli,53
64,Ketohalli,KHLL,Ramanagara,Bangalore,Hubli,53
65,Kodigehalli,KDGH,Bengaluru,Bangalore,Hubli,53
66,Kolar,KQZ,Kolar,Bangalore,Hubli,53
67,Kotha Cheruvu,KTCR,Anantapur,Bangalore,Hubli,53
68,Krishnadevaraya Halt,KNDV,Bengaluru,Bangalore,Hubli,53
69,Krishnarajapuram,KJM,Bengaluru,Bangalore,Hubli,53
70,KSR Bengaluru City Junction,SBC,Bengaluru,Bangalore,Hubli,53
71,Kunigal,KIGL,Tumkur,Bangalore,Hubli,53
72,Kuppam,KPN,Chittoor,Bangalore,Hubli,53
73,Kyatsandra,KIAT,Tumkur,Bangalore,Hubli,53
74,Lotte Golla Halli,LOGH,Bengaluru,Bangalore,Hubli,53
75,Maddur,MAD,Mandya,Bangalore,Hubli,53
76,Makalidurga,MKL,Bengaluru,Bangalore,Hubli,53
77,Makkajipalli,MKJ,Anantapur,Bangalore,Hubli,53
78,Malleswaram,MWM,Bengaluru,Bangalore,Hubli,53
